ID,Title,Genre,Director,Actors,Overview
777443,The Electric State,"Science Fiction, Adventure, Drama",Joe Russo,"Millie Bobby Brown, Chris Pratt, Ke Huy Quan, Jason Alexander, Woody Norman, Giancarlo Esposito, Stanley Tucci, Woody Harrelson, Anthony Mackie, Brian Cox, Jenny Slate, Hank Azaria, Colman Domingo, Alan Tudyk, Ann Russo, Greg Cromer, Vince Pisani, Camrus Johnson, Juan Uribe Brandi, Kurt Loder, Roshni Edwards, Holly Hunter, Will Lyman, Aubrey Brockwell, Camille Marquez, Tuc Watkins, Billy Gardell, Merle Dandridge, Ian McShay, Anthony J. Vorhies, Walter Strickland, Joe Avena, Necar Zadegan, Lia Mariella Russo, Marin Hinkle, Brooklynn, Antoinette LaVecchia, Rahul Kohli, Michael Trucco, Joe Russo, Rob Gronkowski, Susan Leslie, Jordan Black, Andy Watts, Jeffrey Ford, Patrick Newall, Terence Lee, Alan Boell, Myles Alexander Evans, Patti Harrison, Chris Castaldi, Christopher Brearton, Augie Rosalina, Terry Notary, Adam Croasdell, Christopher Silvestri, Devyn Dalton, Phoenix Notary, Gabrielle Maiden, Martin Klebba, Katelin Chesna, Sebastian Soler","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick."
447273,Snow White,"Family, Fantasy",Marc Webb,"Rachel Zegler, Gal Gadot, Andrew Burnap, Jeremy Swift, Jason Kravits, Martin Klebba, George Salazar, Tituss Burgess, Andy Grotelueschen, Andrew Barth Feldman, Emilia Faucher, Hadley Fraser, Lorena Andrea, Patrick Page, Ansu Kabia, George Appleby, Colin Michael Carmichael, Samuel Baxter, Jimmy Johnston, Dujonna Gift-Simms, Idriss Kargbo, Jaih Betote, Freya Mitchell, Zoë Athena, Dean Nolan, Jonathan Bourne, Luisa Guerreiro, Adrian Bower, Felipe Bejarano, Simeon Oakes, Joshmaine Joseph, Chike Chan, Daniel Boyarsky, Leo Cropley, Kieron Bell, Vivienne Rowe, Alejandro De Mesa, Victoria Alsina, John Hyatt, Anna Sylvester, Olivia Verrall, Kathryn Akin, Lukus Alexander, Misa Koide, Leon Ung, Katie Hardwick, Eddison Burch","A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother, the Evil Queen."
1437446,The Twister: Caught in the Storm,Documentary,Alexandra Lacey,,"In May 2011, a massive tornado ripped through Joplin, Missouri. With pulse-pounding firsthand footage, this documentary goes inside a deadly twister."
1204967,USAH: Uncommon Stories of American Horror,Documentary,Giorgio Clementelli,Alex Di Nunzio,"27 real-life stories of American horror are told by a mysterious narrator, who draws inspiration from some famous paintings of American art displayed in an ancient abbey."
675776,Persona,"Thriller, Horror",Nick Cause,"Nick Cause, Isy Valen",An Actress finds herself in a complex puzzle of Personas when someone unexpected arrives to take her place.
696506,Mickey 17,"Science Fiction, Comedy, Adventure",Bong Joon Ho,"Robert Pattinson, Naomi Ackie, Steven Yeun, Mark Ruffalo, Toni Collette, Anamaria Vartolomei, Daniel Henshall, Patsy Ferran, Steve Park, Tim Key, Holliday Grainger, Michael Monroe, Cameron Britton, Edward Davis, Ian Hanmore, Lloyd Hutchinson, Christian Patterson, Samuel Blenkin, Sabet Choudhury, Rose Shalloo, Bronwyn James, Milo James, Jude Mack, Thomas Turgoose, Adam Colborne, Tom Cawte, Ellen Robertson, Sam Woodhams, Kayla Meikle, Haydn Gwynne, Theo Ogundipe, Jamila Wingett, Spike White, Angus Imrie, Afolabi Alli, Anna Mouglalis","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living."
1437920,Centered: Joe Lieberman,Documentary,Jonathan Gruber,"Joe Lieberman, Hadassah Lieberman, Susan Collins, Chris Dodd, Cindy McCain, Rosa DeLauro, Lindsey Graham, Tom Nides","In a time of deep political division, Centered: Joe Lieberman chronicles the remarkable career of Joe Lieberman, a principled and bipartisan politician who navigated the tumultuous world of American politics with unwavering integrity, offering timely lessons on the power of collaboration and leadership beyond party lines."
1437701,Leaving Neverland 2: Surviving Michael Jackson,Documentary,Dan Reed,"James Safechuck, Wade Robson, Michael Jackson, Dan Reed","Explores the personal toll on James Safechuck and Wade Robson after they went public with accusations against pop icon Michael Jackson. The two men continue to seek justice as they face backlash from his global army of fans. With exclusive access to court hearings, the film shows the extent to which the Jackson estate has fought to prevent Robson and Safechuck from having their day in court."
1417181,Dawn of Impressionism: Paris 1874,Documentary,Ali Ray,,"The Impressionists are the most popular group in art history – millions flock every year to marvel at their masterpieces. But, to begin with, they were scorned, penniless outsiders. 1874 was the year that changed everything; the first Impressionists, “hungry for independence”, broke the mould by holding their own exhibition outside official channels. Impressionism was born and the art world was changed forever.  What led to that first groundbreaking show 150 years ago? Who were the maverick personalities that wielded their brushes in such a radical and provocative way? The spectacular Musée d’Orsay exhibition brings fresh eyes to this extraordinary tale of passion and rebellion. The story is told not by historians and curators but in the words of those who witnessed the dawn of Impressionism: the artists, press and people of Paris, 1874."
1439804,Spider in the Cupboard,"Horror, Thriller",Sam Koehler,"Shelby Fish, Abraham Sangye, Gavin Muller, Molly McVey, Sophia Nesterova, Sam Koehler, Frank Vogt, Aiden Holczer","SMILE, YOU'RE ON CAMERA... Jen is a crisis hotline volunteer, using the service to cope with losing her sister at a young age. Little does she know, a former caller has beensecretly living in her apartment, recording her every move with a home video camera. Jen is sent into a spiral by thecombination ofJohn Doe's subtle maniuplations and the apathy of Jen's loved ones, namely Harry."
